#    x_shift     y_shift   expansion         E_unrelaxed  E_relaxed (ignore)
       0.375      0.6875         0.0       -419.46561266       -467.07658265
       0.375        0.75         0.0       -398.19861072       -463.86172794
       0.375      0.8125         0.0       -369.77458186       -460.14462508
       0.375       0.875         0.0       -365.64791951        -462.4749559
       0.375      0.9375         0.0       -394.37221615       -466.23484371
       0.375         1.0         0.0       -419.27244589       -467.34973869

      0.4375         0.0         0.0       -418.02969972       -467.34597638
      0.4375      0.0625         0.0        -406.0658341       -465.16651724
      0.4375       0.125         0.0       -371.29747325        -461.0187432
      0.4375      0.1875         0.0       -363.00933362       -461.29734264
      0.4375        0.25         0.0       -364.96485133       -465.16863505
      0.4375      0.3125         0.0       -410.48405057       -467.27571075
      0.4375       0.375         0.0       -415.14402503       -466.10656893
      0.4375      0.4375         0.0       -381.32917182        -462.4142829
      0.4375         0.5         0.0       -364.11338371        -460.1408839
      0.4375      0.5625         0.0       -358.98626806       -463.75001534
      0.4375       0.625         0.0       -397.21359664       -466.89715317
      0.4375      0.6875         0.0       -419.46570134       -467.07589472
      0.4375        0.75         0.0       -393.94725442       -463.84858244
      0.4375      0.8125         0.0       -365.87687744       -459.89797267
      0.4375       0.875         0.0       -360.59031295       -462.37449286
      0.4375      0.9375         0.0        -380.1647485       -466.20536468
      0.4375         1.0         0.0       -418.02969972       -467.34784518

         0.5         0.0         0.0       -421.03237127       -467.05303021
         0.5      0.0625         0.0       -406.06573477       -465.46593143
         0.5       0.125         0.0       -377.85260461       -461.52985227
         0.5      0.1875         0.0       -358.64258076       -461.25426246
         0.5        0.25         0.0       -373.21802103       -465.14874437
         0.5      0.3125         0.0       -416.07442226       -467.08566787
         0.5       0.375         0.0       -414.94374484       -466.34724029
         0.5      0.4375         0.0        -385.9207132       -462.37704319
         0.5         0.5         0.0       -365.05649712       -461.48443848
         0.5      0.5625         0.0       -358.98623192       -463.78902979
         0.5       0.625         0.0       -405.61624284       -466.75916366
         0.5      0.6875         0.0       -420.40994935       -466.74687869
         0.5        0.75         0.0       -395.72567083       -463.83742172
         0.5      0.8125         0.0       -371.28505252       -460.35595966
         0.5       0.875         0.0       -354.56964355       -462.52550106
         0.5      0.9375         0.0       -390.56973839       -466.15752067
         0.5         1.0         0.0       -421.03237127       -467.04292972

      0.5625         0.0         0.0       -418.02962964       -467.36141913
      0.5625      0.0625         0.0       -407.84385733       -465.27021555
      0.5625       0.125         0.0       -375.20941903       -461.17860821
      0.5625      0.1875         0.0       -364.48163791       -461.36117433
      0.5625        0.25         0.0       -380.17607874       -465.25382668
      0.5625      0.3125         0.0       -412.13591287       -467.24676016
      0.5625       0.375         0.0       -415.42030416       -465.87653684
      0.5625      0.4375         0.0       -385.92076566        -462.3703951
      0.5625         0.5         0.0       -364.11337093       -459.33231699
      0.5625      0.5625         0.0       -372.63987199       -464.01683474
      0.5625       0.625         0.0       -402.23810425       -466.91209388
      0.5625      0.6875         0.0       -419.07093987       -466.99258022
      0.5625        0.75         0.0        -397.4802214       -463.84319078
      0.5625      0.8125         0.0       -367.53364804        -459.8034449
      0.5625       0.875         0.0       -367.52673241       -462.49980019
      0.5625      0.9375         0.0       -390.56973422       -466.20221499
      0.5625         1.0         0.0       -418.02962964       -467.34784518

       0.625         0.0         0.0       -419.27253616       -467.34024053
       0.625      0.0625         0.0       -405.32352198       -465.32552145
       0.625       0.125         0.0         -372.464535       -461.45099847
       0.625      0.1875         0.0        -360.6054008       -460.99658924
       0.625        0.25         0.0        -361.0060274        -465.1539587
       0.625      0.3125         0.0       -412.13599014       -467.28811023
       0.625       0.375         0.0       -414.94383041       -466.38024919
       0.625      0.4375         0.0        -381.3291615       -462.50908399
       0.625         0.5         0.0       -364.59878514       -460.03789228
       0.625      0.5625         0.0       -351.48914609       -463.74088727
       0.625       0.625         0.0       -398.71619835        -466.9191958
       0.625      0.6875         0.0       -420.02121876       -467.04338047
       0.625        0.75         0.0       -393.20330137       -463.91554655
       0.625      0.8125         0.0       -367.53367009       -460.47513498
       0.625       0.875         0.0       -354.56969414       -462.27169198
       0.625      0.9375         0.0       -380.16476201       -466.20627633
       0.625         1.0         0.0       -419.27253616       -467.34024053

      0.6875         0.0         0.0        -420.5161081       -467.23885587
      0.6875      0.0625         0.0       -407.10863777       -465.55904419
      0.6875       0.125         0.0       -378.91793913       -461.15957862
      0.6875      0.1875         0.0       -360.60535502       -460.50420096
      0.6875        0.25         0.0       -380.17607011       -465.25986959
      0.6875      0.3125         0.0       -416.07440466       -467.05708477
      0.6875       0.375         0.0       -415.14392356       -466.37260779
      0.6875      0.4375         0.0       -387.75617771       -462.39888439
      0.6875         0.5         0.0       -364.95086665       -460.55925041
      0.6875      0.5625         0.0       -367.54384407       -464.02101327
      0.6875       0.625         0.0       -406.97611312       -466.84777474
      0.6875      0.6875         0.0       -420.02112076       -467.02299176
      0.6875        0.75         0.0       -397.48018468       -463.87086192
